,자치구,행정동,면적,개소,주차면수,거주인구,대중교통이용,사업체수,종사자수,총생활인구수,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,상주인구,유출인구,유입인구,도소매,숙박 및 음식점,서비스업
0,종로구,사직동,1.23,362,12605,9355,72471.10730593608,5035,56013,27082.61477485119,650,1591,78,411,48,310681.4,2029606.15,2036294.34,754,941,818
1,종로구,삼청동,1.49,343,2237,2642,4189.739726027397,956,4978,6371.000204464285,644,3415,19,37,30,25661.14,404650.32,405217.49,317,217,95
2,종로구,부암동,2.27,596,3533,9536,8870.191780821919,894,3762,13593.759610863097,1033,121,903,976,37,34344.83,556159.17,554475.76,214,127,150
3,종로구,평창동,8.87,1617,9390,17858,8084.2168949771685,1321,4321,18222.597482738096,1553,1009,2186,1139,71,74612.46,581715.46,580691.43,360,142,221
4,종로구,무악동,0.36,69,3185,8052,1933.7534246575342,761,1891,6832.6181404891295,48,2703,55,46,8,5261.84,260313.49,259987.17,101,40,71
5,종로구,교남동,0.35,209,5240,9994,9270.331050228311,592,8371,7903.441055803571,237,2526,88,1060,6,37734.32,573381.81,571309.97,132,99,92
6,종로구,가회동,0.54,461,3238,4065,1928.2511415525114,969,14180,7471.010968005952,731,3415,137,719,14,38061.78,620300.7,620339.04,217,260,130
7,종로구,종로1.2.3.4가동,2.35,935,18551,8700,154737.6780821918,17286,107067,73275.59672782737,514,959,28,48,103,1423977.7,6369659.08,6392905.24,7366,2405,1446
8,종로구,종로5.6가동,0.6,705,4754,5817,59570.82648401827,7972,22872,19405.240792261902,730,220,76,137,156,159585.54,1588026.96,1589025.73,4992,641,255
9,종로구,이화동,0.78,442,8766,7631,44708.239726027394,1673,17365,25072.117404613095,682,189,266,1420,67,316605.23,2110726.08,2110742.86,354,344,301
10,종로구,혜화동,1.12,822,5954,19392,15164.712328767124,2235,8819,37770.64607559524,1430,890,458,2172,115,351119.77,1347824.52,1343749.92,451,629,386
11,종로구,창신1동,0.31,228,2175,5383,9442.965753424658,2686,6266,9545.174422172619,493,868,18,164,46,30160.87,647349.09,648065.77,1567,258,137
12,종로구,창신2동,0.26,209,917,8796,126.44063926940639,1062,2192,11015.841874553571,879,330,89,1119,49,10286.07,283967.67,282902.7,197,136,61
13,종로구,창신3동,0.23,37,1637,6606,4283.997716894977,439,1128,5041.596211375611,306,1735,33,68,8,2154.79,156691.91,156213.52,120,34,45
14,종로구,숭인1동,0.23,88,1512,6057,6015.004566210046,736,1897,8155.469568154763,644,654,15,245,30,11215.76,326970.35,326546.46,190,51,72
15,종로구,숭인2동,0.35,441,3776,10509,21193.76484018265,2267,6053,13743.64537514881,406,1633,224,1029,66,57347.2,896777.34,894564.94,977,248,144
16,종로구,청운효자동,2.57,668,4592,11818,6991.6392694063925,1477,7888,17906.369998214286,1279,260,787,1750,58,88601.65,832094.74,831021.54,374,294,179
17,중구,소공동,0.95,149,14062,3578,68195.52054794521,5107,64308,36288.24316964286,16,651,200,1571,18,422393.03,3006544.8,3009094.73,1360,747,455
18,중구,회현동,0.84,190,11806,5222,115057.07762557078,9246,46229,31154.97313839286,246,1342,43,75,38,441605.93,3288332.48,3287607.53,6932,597,245
19,중구,명동,0.99,291,15101,3638,76945.18721461187,8849,110506,54835.34571041667,201,250,200,54,42,847858.31,4352180.18,4363648.46,1778,1257,1120
20,중구,필동,1.14,375,4903,4816,26500.445205479453,3600,24470,13772.753504017857,375,399,89,258,70,167135.87,1158453.97,1159687.66,517,472,236
21,중구,장충동,1.36,320,5458,5326,11892.502283105023,1041,9357,14565.890177529762,391,197,262,1532,51,74579.73,895624.14,896216.91,321,160,80
22,중구,광희동,0.74,281,8776,6682,39874.63926940639,9352,34741,32383.018631696432,450,1206,200,116,55,265143.98,2100847.37,2103356.61,4236,666,291
23,중구,을지로동,0.6,135,4828,1912,49103.68949771689,9784,31528,22322.385151934526,101,257,200,7,57,146759.91,1577068.63,1582232.61,3660,676,267
24,중구,신당5동,0.39,267,2794,10513,5487.96803652968,1552,4149,9187.63155625,607,2279,106,321,63,33999.61,499120.72,498127.86,445,261,132
25,중구,황학동,0.33,353,6894,13459,3427.404109589041,2487,5992,14837.752474255953,612,2823,12,398,114,54145.48,780006.7,779244.6799999999,1400,286,121
26,중구,중림동,0.48,124,5383,12338,4303.374429223744,1340,9166,9450.43598139881,259,3455,54,529,27,39689.79,647957.07,645600.17,354,229,164
27,중구,신당동,0.55,408,7819,9087,23887.568493150684,12136,23988,26904.596071726195,968,973,51,426,108,178067.78,1495191.54,1485606.47,10011,351,248
28,중구,다산동,0.51,675,4827,13954,3365.8995433789955,2023,8723,16197.23271577381,865,472,711,2374,85,63979.78,719663.15,718737.11,678,215,225
29,중구,약수동,0.48,216,6341,16610,20069.618721461185,1210,4519,15008.933619940477,168,5344,389,658,25,70111.92,637362.44,636818.16,359,130,169
30,중구,청구동,0.34,237,5147,13451,2292.324200913242,1244,4497,11310.942228571428,484,3844,115,432,53,20815.84,391585.46,391546.15,432,96,134
31,중구,동화동,0.26,248,5014,10199,7859.301369863014,1337,4391,11699.415949255954,224,2610,111,172,63,33517.32,450593.31,450134.26,464,110,106
32,용산구,후암동,0.86,739,4578,16812,5236.502283105023,1367,4605,14386.042982738094,1470,618,575,2646,54,47489.28,497700.27,496782.84,393,211,140
