단속년도,시군구명,행정동명,과태료명, 단속건수 
2015,강서구,가양1동,주정차위반과태료,2282
2015,강서구,가양2동,주정차위반과태료,864
2015,강서구,가양3동,주정차위반과태료,2682
2015,강서구,공항동,주정차위반과태료,7447
2015,강서구,등촌1동,주정차위반과태료,3523
2015,강서구,등촌2동,주정차위반과태료,4168
2015,강서구,등촌3동,주정차위반과태료,5878
2015,강서구,발산1동,주정차위반과태료,3512
2015,강서구,방화1동,주정차위반과태료,6050
2015,강서구,방화2동,주정차위반과태료,5567
2015,강서구,방화3동,주정차위반과태료,1678
2015,강서구,염창동,주정차위반과태료,4977
2015,강서구,우장산동,주정차위반과태료,6608
2015,강서구,화곡1동,주정차위반과태료,8819
2015,강서구,화곡2동,주정차위반과태료,5124
2015,강서구,화곡3동,주정차위반과태료,4618
2015,강서구,화곡4동,주정차위반과태료,2084
2015,강서구,화곡6동,주정차위반과태료,3154
2015,강서구,화곡8동,주정차위반과태료,5205
2015,강서구,화곡본동,주정차위반과태료,3649
2016,강서구,가양1동,주정차위반과태료,3511
2016,강서구,가양2동,주정차위반과태료,1048
2016,강서구,가양3동,주정차위반과태료,2140
2016,강서구,공항동,주정차위반과태료,8219
2016,강서구,등촌1동,주정차위반과태료,3041
2016,강서구,등촌2동,주정차위반과태료,4821
2016,강서구,등촌3동,주정차위반과태료,6417
2016,강서구,발산1동,주정차위반과태료,6879
2016,강서구,방화1동,주정차위반과태료,5124
2016,강서구,방화2동,주정차위반과태료,4758
2016,강서구,방화3동,주정차위반과태료,2047
2016,강서구,염창동,주정차위반과태료,5674
2016,강서구,우장산동,주정차위반과태료,7541
2016,강서구,화곡1동,주정차위반과태료,10549
2016,강서구,화곡2동,주정차위반과태료,5941
2016,강서구,화곡3동,주정차위반과태료,4335
2016,강서구,화곡4동,주정차위반과태료,3689
2016,강서구,화곡6동,주정차위반과태료,2854
2016,강서구,화곡8동,주정차위반과태료,6022
2016,강서구,화곡본동,주정차위반과태료,3855
2017,강서구,가양1동,주정차위반과태료,7227
2017,강서구,가양2동,주정차위반과태료,2453
2017,강서구,가양3동,주정차위반과태료,2644
2017,강서구,공항동,주정차위반과태료,10135
2017,강서구,등촌1동,주정차위반과태료,2591
2017,강서구,등촌2동,주정차위반과태료,4944
2017,강서구,등촌3동,주정차위반과태료,5798
2017,강서구,발산1동,주정차위반과태료,8451
2017,강서구,방화1동,주정차위반과태료,4977
2017,강서구,방화2동,주정차위반과태료,5744
2017,강서구,방화3동,주정차위반과태료,3068
2017,강서구,염창동,주정차위반과태료,6175
2017,강서구,우장산동,주정차위반과태료,7069
2017,강서구,화곡1동,주정차위반과태료,9543
2017,강서구,화곡2동,주정차위반과태료,6011
2017,강서구,화곡3동,주정차위반과태료,4988
2017,강서구,화곡4동,주정차위반과태료,3108
2017,강서구,화곡6동,주정차위반과태료,2975
2017,강서구,화곡8동,주정차위반과태료,5426
2017,강서구,화곡본동,주정차위반과태료,2647
2018,강서구,가양1동,주정차위반과태료,15256
2018,강서구,가양2동,주정차위반과태료,3387
2018,강서구,가양3동,주정차위반과태료,3019
2018,강서구,공항동,주정차위반과태료,16425
2018,강서구,등촌1동,주정차위반과태료,3518
2018,강서구,등촌2동,주정차위반과태료,5441
2018,강서구,등촌3동,주정차위반과태료,5996
2018,강서구,발산1동,주정차위반과태료,10245
2018,강서구,방화1동,주정차위반과태료,10236
2018,강서구,방화2동,주정차위반과태료,5894
2018,강서구,방화3동,주정차위반과태료,6553
2018,강서구,염창동,주정차위반과태료,7170
2018,강서구,우장산동,주정차위반과태료,8853
2018,강서구,화곡1동,주정차위반과태료,13465
2018,강서구,화곡2동,주정차위반과태료,8546
2018,강서구,화곡3동,주정차위반과태료,5678
2018,강서구,화곡4동,주정차위반과태료,4614
2018,강서구,화곡6동,주정차위반과태료,3945
2018,강서구,화곡8동,주정차위반과태료,6744
2018,강서구,화곡본동,주정차위반과태료,3546
2019,강서구,가양1동,주정차위반과태료,21335
2019,강서구,가양2동,주정차위반과태료,2133
2019,강서구,가양3동,주정차위반과태료,1273
2019,강서구,공항동,주정차위반과태료,44608
2019,강서구,등촌1동,주정차위반과태료,13730
2019,강서구,등촌2동,주정차위반과태료,2329
2019,강서구,등촌3동,주정차위반과태료,6697
2019,강서구,발산1동,주정차위반과태료,14247
2019,강서구,방화1동,주정차위반과태료,11695
2019,강서구,방화2동,주정차위반과태료,7702
2019,강서구,방화3동,주정차위반과태료,4394
2019,강서구,염창동,주정차위반과태료,6518
2019,강서구,우장산동,주정차위반과태료,2248
2019,강서구,화곡1동,주정차위반과태료,9109
2019,강서구,화곡2동,주정차위반과태료,2908
2019,강서구,화곡3동,주정차위반과태료,3847
2019,강서구,화곡4동,주정차위반과태료,6189
2019,강서구,화곡6동,주정차위반과태료,7067
2019,강서구,화곡8동,주정차위반과태료,3051
2019,강서구,화곡본동,주정차위반과태료,3919
2020,강서구,가양1동,주정차위반과태료,16889
2020,강서구,가양2동,주정차위반과태료,13315
2020,강서구,가양3동,주정차위반과태료,1801
2020,강서구,공항동,주정차위반과태료,41748
2020,강서구,등촌1동,주정차위반과태료,6341
2020,강서구,등촌2동,주정차위반과태료,1888
2020,강서구,등촌3동,주정차위반과태료,2824
2020,강서구,발산1동,주정차위반과태료,20476
2020,강서구,방화1동,주정차위반과태료,6578
2020,강서구,방화2동,주정차위반과태료,7404
2020,강서구,방화3동,주정차위반과태료,2714
2020,강서구,염창동,주정차위반과태료,7495
2020,강서구,우장산동,주정차위반과태료,3073
2020,강서구,화곡1동,주정차위반과태료,13410
2020,강서구,화곡2동,주정차위반과태료,3829
2020,강서구,화곡3동,주정차위반과태료,4245
2020,강서구,화곡4동,주정차위반과태료,5120
2020,강서구,화곡6동,주정차위반과태료,5820
2020,강서구,화곡8동,주정차위반과태료,3628
2020,강서구,화곡본동,주정차위반과태료,4098
