"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",종로구,사직동,9355,4191,5164,4038,5049,153,115,9389,4209,5180,4064,5067,145,113,9377,4207,5170,4060,5060,147,110
"합계",종로구,삼청동,2642,1263,1379,1112,1219,151,160,2633,1260,1373,1110,1215,150,158,2626,1252,1374,1104,1218,148,156
"합계",종로구,부암동,9536,4545,4991,4382,4859,163,132,9491,4524,4967,4361,4837,163,130,9466,4499,4967,4340,4838,159,129
"합계",종로구,평창동,17858,8336,9522,8236,9427,100,95,17828,8323,9505,8224,9412,99,93,17793,8313,9480,8212,9390,101,90
"합계",종로구,무악동,8052,3720,4332,3708,4315,12,17,8042,3718,4324,3705,4307,13,17,8050,3711,4339,3698,4321,13,18
"합계",종로구,교남동,9994,4622,5372,4528,5288,94,84,9972,4601,5371,4506,5288,95,83,9957,4598,5359,4505,5278,93,81
"합계",종로구,가회동,4065,1881,2184,1821,2120,60,64,4084,1889,2195,1830,2132,59,63,4090,1904,2186,1845,2124,59,62
"합계",종로구,종로1.2.3.4가동,8700,5044,3656,4095,2633,949,1023,8687,5053,3634,4100,2632,953,1002,8653,5041,3612,4113,2647,928,965
"합계",종로구,종로5.6가동,5817,3064,2753,2797,2503,267,250,5823,3057,2766,2791,2518,266,248,5878,3085,2793,2837,2559,248,234
"합계",종로구,이화동,7631,3559,4072,3360,3741,199,331,7617,3564,4053,3363,3722,201,331,7662,3573,4089,3360,3736,213,353
"합계",종로구,창신1동,5383,2844,2539,2465,2181,379,358,5396,2851,2545,2468,2181,383,364,5397,2853,2544,2462,2175,391,369
"합계",종로구,창신2동,8796,4485,4311,3962,3744,523,567,8776,4474,4302,3948,3739,526,563,8780,4490,4290,3949,3733,541,557
"합계",종로구,창신3동,6606,3262,3344,3177,3272,85,72,6604,3259,3345,3173,3275,86,70,6612,3252,3360,3168,3291,84,69
"합계",종로구,숭인1동,6057,2889,3168,2783,2986,106,182,6064,2890,3174,2783,2992,107,182,6085,2902,3183,2785,2998,117,185
"합계",종로구,숭인2동,10509,5052,5457,4838,4969,214,488,10547,5068,5479,4847,4981,221,498,10545,5058,5487,4844,4981,214,506
"합계",종로구,청운효자동,11818,5448,6370,5347,6281,101,89,11791,5427,6364,5327,6273,100,91,11797,5425,6372,5325,6280,100,92
"합계",종로구,혜화동,19392,8775,10617,7746,8397,1029,2220,19254,8739,10515,7714,8338,1025,2177,19399,8814,10585,7792,8405,1022,2180
"합계",중구,소공동,3578,1807,1771,1075,1169,732,602,3576,1800,1776,1058,1163,742,613,3570,1800,1770,1062,1166,738,604
"합계",중구,회현동,5222,2694,2528,2352,2192,342,336,5206,2695,2511,2353,2184,342,327,5177,2681,2496,2337,2169,344,327
"합계",중구,명동,3638,1637,2001,1188,1551,449,450,3627,1625,2002,1178,1543,447,459,3616,1614,2002,1172,1556,442,446
"합계",중구,필동,4816,2439,2377,2064,1909,375,468,4803,2415,2388,2047,1899,368,489,4761,2401,2360,2046,1892,355,468
"합계",중구,장충동,5326,2765,2561,2406,2165,359,396,5300,2753,2547,2392,2151,361,396,5353,2799,2554,2426,2151,373,403
"합계",중구,광희동,6682,3291,3391,2627,2575,664,816,6713,3306,3407,2633,2590,673,817,6883,3416,3467,2727,2702,689,765
"합계",중구,을지로동,1912,1127,785,1018,643,109,142,1892,1123,769,1013,638,110,131,1919,1141,778,1021,653,120,125
"합계",중구,신당5동,10513,5091,5422,4948,5232,143,190,10499,5077,5422,4930,5232,147,190,10456,5054,5402,4909,5218,145,184
"합계",중구,황학동,13459,6338,7121,5986,6618,352,503,13500,6357,7143,6006,6634,351,509,13601,6412,7189,6060,6679,352,510
"합계",중구,중림동,12338,6129,6209,5966,6043,163,166,12325,6125,6200,5960,6045,165,155,12307,6117,6190,5954,6033,163,157
"합계",중구,신당동,9087,4367,4720,3749,3869,618,851,9070,4348,4722,3744,3866,604,856,9082,4347,4735,3740,3867,607,868
"합계",중구,다산동,13954,6720,7234,6524,6950,196,284,13947,6710,7237,6512,6956,198,281,13965,6724,7241,6524,6962,200,279
"합계",중구,약수동,16610,7702,8908,7594,8801,108,107,16590,7678,8912,7572,8804,106,108,16557,7651,8906,7549,8798,102,108
"합계",중구,청구동,13451,6375,7076,6253,6946,122,130,13412,6346,7066,6226,6935,120,131,13398,6337,7061,6220,6929,117,132
